"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5","pDat","cas"
3,-2,-5,-4,10,0.8,0.005,0.001,3.3699971248,-2.0730678508,-4.755128657,-4.9616738643,9.5843305168,0.7736276242,0.0063812254,0.003223393,0.0128654548,3.2138e-06,9.152e-07,-0.0144152758,-0.0042582761,-0.0231337382,-0.1437621847,-0.2445866138,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,2.4862645615,-1.6447942982,-5.6790571936,-3.7780228981,11.2496215841,0.8932025614,0.0078843923,0.0020478603,0.0245838256,5.7664e-06,2.6683e-06,-0.0121006898,-0.0069085171,-0.0364376336,-0.1290140888,-0.2750026455,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,3.0186831119,-2.113591814,-4.7198117524,-3.4016994237,8.6124081492,0.5663374653,0.0100521583,0.0052837749,0.0206301745,9.0551e-06,2.9156e-06,-0.0157160034,-0.0086219805,-0.0501010237,-0.262177563,-0.7753661147,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,3.1374050099,-1.9607998703,-5.2402863738,-4.375663076,10.3696456887,0.8464361874,0.0042848544,0.0018749295,0.0196356408,2.4704e-06,1.5812e-06,-0.0099133138,-0.0042620856,-0.0212131048,-0.098492411,-0.2626579428,30,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-2,-5,-4,10,0.8,0.005,0.001,3.1772193858,-2.2557888145,-4.4335219726,-3.7077547976,8.5710381357,1.6173986976,0.0110582357,-0.0001076551,1.90009e-05,2.16495e-05,4.1683e-06,-0.0373648023,-0.0201436747,-0.0936860218,-0.2878376413,-0.6294839642,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,3.2525870846,-2.0882450649,-4.8163757058,-4.8966724426,10.629265187,0.9311607218,0.0022859837,0.000109212,0.0173144056,1.0217e-06,5.995e-07,-0.0070467559,-0.0035201871,-0.0185905731,-0.0603606085,-0.1632857942,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,3.2983255362,-2.121567265,-4.5601966578,-4.7746767627,9.1446401996,0.6597257706,0.0061928727,0.002187271,0.0424247798,5.1363e-06,3.5077e-06,-0.028152371,-0.0103067693,-0.067575718,-0.1891933687,-0.5355873478,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,3.2114263078,-2.1030423335,-5.1014360759,-3.8463187011,9.9074680803,1.0599834337,0.004112627,0.0002003008,0.0026182157,1.9574e-06,6.45e-07,-0.0300165432,-0.0079591386,-0.0583715223,-0.2510944062,-0.7249731439,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,3.0912681602,-2.0096368908,-4.8812420622,-4.4923838648,10.2658474804,0.495193022,0.0077103126,0.0030729648,0.053500385,7.4072e-06,7.8645e-06,-0.0144819978,-0.004989098,-0.030248819,-0.2033124148,-0.4093863574,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,2.8486844147,-1.8957180488,-5.5160000417,-3.417559391,10.8640602754,0.6800210137,0.0073383076,0.0029024294,0.0403358323,7.3399e-06,3.1753e-06,-0.0134272178,-0.0070708431,-0.033540399,-0.1696555245,-0.3435797837,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,2.9483812681,-1.970735987,-5.039494878,-3.8405825982,9.8547126898,1.0683722638,0.0023588007,-0.0011609837,3.10607e-05,7.102e-07,6.467e-07,-0.0056153531,-0.0015914261,-0.0090040331,-0.0677038127,-0.0750881755,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,2.9075512477,-1.8970931558,-5.1393302734,-4.1039391038,10.2761665698,0.7486469938,0.0035252064,0.00011292,0.0472814419,2.4884e-06,2.148e-06,-0.009545403,-0.0037241008,-0.022719491,-0.1050800667,-0.2782250523,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,3.2533174008,-1.9707688439,-4.8757256158,-5.7040250023,11.4579248853,0.8453992775,0.0040321376,0.0006646042,0.0268390299,2.3428e-06,1.4045e-06,-0.0106465225,-0.002330821,-0.0129720296,-0.2405641939,-0.2810756963,30,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-2,-5,-4,10,0.8,0.005,0.001,2.8716539541,-1.960276831,-5.2839481022,-3.1097316934,9.8425681372,0.7588420999,0.006069506,0.0017125789,0.0332972796,5.4267e-06,3.0085e-06,-0.0107191986,-0.0047279866,-0.0203815936,-0.1229181668,-0.2098992546,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,3.3001722747,-2.1602815381,-4.758125887,-4.3764342767,10.1037470108,0.7096361702,0.0066196354,0.0024751161,0.0409450985,7.2247e-06,4.1168e-06,-0.0316833708,-0.0063411469,-0.0275540348,-0.3187155321,-0.37603277,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,2.9041731442,-1.9182508119,-5.1014033492,-3.8798132783,9.5171059258,1.0429116736,0.0040524777,-8.1739e-06,0.039361965,2.5633e-06,1.0526e-06,-0.0154181694,-0.0039583272,-0.0223895911,-0.1762936712,-0.2004591513,30,30
