"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5"
3,-2,-5,-4,10,0.3775,0.0696206897,0.0002867,2.5817522838,-2.15021093,-4.8894483021,-0.8143362693,7.1565819514,0.5590509325,0.0374237741,-0.0317523794,0.0096654302,3.34099e-05,4.98358e-05,-0.0161753568,-0.0058111655,-0.0346808855,-0.1712584194,-0.220951516
3,-2,-5,-4,10,0.3775,0.0696206897,0.0003284,3.3154396892,-2.0639368937,-4.9266463744,-4.6618075115,9.8047918937,0.2728161399,0.0752558598,0.0289011407,0.0105390704,0.0002084512,0.0003102181,-0.057803913,-0.018026222,-0.0974887432,-0.6074041301,-0.803801067
3,-2,-5,-4,10,0.3775,0.0696206897,0.0003798,2.9930481401,-2.1253844093,-4.7806984226,-3.3962276143,9.3110313562,0.4803509217,0.0627793174,-0.0148532788,0.0131133709,0.0001339157,0.0002206718,-0.0416609252,-0.0126024375,-0.0819514131,-0.5168966867,-0.6994023415
3,-2,-5,-4,10,0.3775,0.0696206897,0.000444,3.5281465672,-2.1724594062,-4.3140105886,-6.1850883589,10.356619137,0.5100628264,0.0459422614,-0.0163857143,0.0126773939,6.35549e-05,0.000118245,-0.0512609785,-0.0118905599,-0.0735098731,-0.6803191853,-0.6153611829
3,-2,-5,-4,10,0.3775,0.0764827586,0,3.5377454064,-2.3502127814,-4.2463989269,-5.0734265231,9.545038982,0.2311458421,0.1049727985,0.0165223849,0.0127799789,0.0004996603,0.0009465396,-0.0929729391,-0.0286906634,-0.1443381264,-1.0303094334,-1.4260653955
3,-2,-5,-4,10,0.3775,0.0764827586,0.0002502,2.5319057458,-1.8418980584,-5.3312413216,-2.768917904,10.0080868892,0.4131291208,0.0677735161,-0.004274576,0.0135054288,0.0001459388,0.0002615505,-0.0322648485,-0.011620533,-0.0696272047,-0.4203965289,-0.710031556
3,-2,-5,-4,10,0.3775,0.0764827586,0.0002867,2.9885364464,-2.313150283,-4.24028721,-2.3992561922,6.8715590644,0.7023963994,0.0480690242,-0.0352202612,0.010101496,0.0001414127,0.0002868194,-0.0352571866,-0.0098241646,-0.0658875621,-0.4730203376,-0.4729807205
3,-2,-5,-4,10,0.3775,0.0764827586,0.0003284,3.3266958245,-1.9795887331,-4.862577592,-5.4355959645,11.1445793379,0.5797014686,0.1112512008,-0.1164302946,0.0100201788,8.68697e-05,0.000144079,-0.1315255794,-0.0754899617,-0.1917326428,-1.3711193353,-0.951395706
3,-2,-5,-4,10,0.3775,0.0764827586,0.0003798,3.0015012756,-1.848307631,-5.634859498,-4.551042921,12.7432819467,0.3073446101,0.1236612722,0.0856617656,0.0072695993,0.0004556044,0.0005200917,-0.0497921491,-0.0173336776,-0.0927836987,-0.7937450945,-1.6401357088
3,-2,-5,-4,10,0.3775,0.0764827586,0.000444,3.307981411,-2.1131743445,-4.6906129341,-4.715891305,9.3397496608,0.3606689336,0.0684797788,0.009635138,0.0132422676,0.0001936216,0.0003625527,-0.050553372,-0.0166720926,-0.0965818673,-0.6719000974,-1.0617505999
