"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5","pDat","cas"
1,-0.25,-14,-12,60,0.4,0.05,0,0.9740672248,-0.2249176179,-14.2764052697,-11.6285816555,60.1181246802,0.6834163917,0.0440307517,0.0019194935,0.0371884457,0.0001720268,0.0002152535,-0.0015660476,-0.0012420204,-0.0806562282,-0.3366762771,-5.0977982839,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,1.1068819238,-0.2350967416,-14.3897832657,-13.673458646,65.1233115972,-0.0004563534,0.0554335515,-0.0380161679,0.0567824938,0.0002613422,0.0003912824,-0.00216315,-0.0013626543,-0.0853246631,-0.4997911471,-5.7780436851,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,1.0724057138,-0.1531799415,-14.5900169282,-13.8702408999,66.9620077613,0.3578059492,0.0629897322,0.0202720871,0.060786924,0.0003223467,0.0006810364,-0.0042746787,-0.0029153367,-0.1111246312,-1.1502746117,-13.9854073764,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,0.9287108701,-0.2926038873,-13.8920946332,-10.2330889828,55.0147114525,0.0693931156,0.0556479954,0.0314631036,0.0472434902,0.0003132696,0.0004388647,-0.0014927364,-0.0011586459,-0.0725544795,-0.2958381373,-6.2476148768,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,1.0162615666,-0.3961272764,-13.4204468557,-11.2364097524,57.1266711288,0.4352572503,0.0525587756,-0.000297158,0.0643814845,0.0002320288,0.0003067483,-0.0030317846,-0.0015543636,-0.0758015822,-0.5383196145,-5.1234232122,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,1.0547806817,-0.2499844219,-13.9945730317,-12.8819841968,62.1462033985,0.5265145279,0.0592870941,-0.0109586838,0.0633746463,0.0003599594,0.0004630955,-0.0037812621,-0.003018871,-0.1774439435,-0.5581482423,-8.0783659799,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,0.9775558215,-0.2399375703,-13.9791954354,-11.750906895,58.7735378094,0.6469467498,0.0501516226,0.0208096259,0.0362921235,0.0002398958,0.0003656634,-0.0019075833,-0.0013302403,-0.0857416313,-0.3507909667,-5.9101748774,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,1.0060214035,-0.2451597637,-13.5146335718,-12.1600902894,56.8113772643,0.7163199025,0.0457616059,0.0088213818,0.0483004685,0.0001668869,0.0001892687,-0.0058293817,-0.0015150738,-0.1090583989,-1.0534675364,-6.4631233154,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,1.0226596391,-0.2277245116,-14.0842898651,-12.4137867802,59.8525773039,0.6883717072,0.042340111,-0.0037194559,0.0397425165,0.0001705417,0.0002030181,-0.0028903187,-0.0016951459,-0.0791348911,-0.4085083785,-4.1306560756,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,1.0515073372,-0.3152341641,-13.5316241786,-12.2753625581,58.7738051659,0.1872251508,0.041221886,-0.006763659,0.091240512,0.0001317608,0.0002229886,-0.0021855649,-0.0012041797,-0.0762705334,-0.3669971915,-4.4292479799,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,0.9694107095,-0.2183622975,-14.3459445811,-11.7142357433,61.7062354474,-0.5003927575,0.0581461171,-0.028354272,0.0520752844,0.0003893469,0.0005538577,-0.0034800853,-0.0012172151,-0.0948076315,-0.7190552207,-4.8737448426,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,1.0918817573,-0.357402202,-12.6527648708,-12.3087705412,49.5111358589,0.3527349059,0.0512222413,0.0094173583,0.062619673,0.0003450442,0.0004339233,-0.0046511081,-0.0022145283,-0.244415209,-0.8271500732,-18.489124631,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,0.9549894141,-0.1737111588,-14.7101448849,-11.8371096209,62.5309713094,-0.156006816,0.0616349349,0.0151927404,0.0882816251,0.0003417932,0.0005938741,-0.0021446594,-0.0015783856,-0.1180527449,-0.4517161234,-9.4605589373,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,0.9901584217,-0.2656844045,-13.8053547248,-11.6711586911,57.4260799009,0.4364135047,0.0372057343,-0.0022227814,0.0709477851,0.000208531,0.0002965358,-0.0019485086,-0.0014311003,-0.0621157425,-0.3801259574,-5.1295928362,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,1.0124447324,-0.2545278828,-13.9483772453,-12.1537275142,60.1792103882,-0.0113931835,0.0286937574,-0.0031570117,0.0896615087,6.99181e-05,0.000130571,-0.0011922745,-0.0007698025,-0.0462649836,-0.2377811889,-3.5014821349,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,1.0175180659,-0.205043701,-14.6277312689,-12.6190400178,65.2305416974,0.4917445881,0.0250907029,-0.0071632068,0.0617769162,5.54975e-05,0.0001013781,-0.0013543633,-0.0007502596,-0.0542284502,-0.269927417,-3.6528151383,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,1.0080247395,-0.3257283447,-13.6986154714,-11.640015828,59.8654491446,0.663308448,0.0631357499,-0.0148789844,0.037029157,0.0003089427,0.0004967709,-0.0020221299,-0.0021965487,-0.1212016375,-0.5375302842,-9.608641943,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,1.0974958048,-0.3224508224,-13.6818265359,-12.5502607757,57.4306190346,0.168097748,0.0593183869,-0.0377509183,0.0408391539,0.0017500717,0.0020782645,-0.0025104826,-0.0013809135,-0.1008747862,-0.5654654953,-5.3617324898,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,1.0266231298,-0.2655788927,-13.7642980597,-12.0858541621,58.2893606958,0.54376627,0.0674687711,-0.0110347759,0.055160743,0.0003898957,0.0005307533,-0.0030745523,-0.0018598521,-0.1026437934,-0.667258431,-8.3386838888,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,0.9265992301,-0.2199239202,-13.8615741171,-11.1426555628,56.9211379363,0.7514630769,0.0292573578,-0.0226458216,0.025993256,7.34635e-05,6.13158e-05,-0.0012169967,-0.0007002218,-0.0478178278,-0.3185160621,-3.3929666755,30,30
1,-0.25,-14,-12,60,0.4,0.05,0,0.9878949952,-0.2774561848,-14.0736764661,-11.4167203461,57.9604031104,0.6604050386,0.0434973324,-0.0114702215,0.0484410806,0.0001543053,0.0001179062,-0.0024438965,-0.0009984825,-0.0742989941,-0.4735565857,-5.7860101418,30,30
