"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5"
3,-2,-5,-4,10,0.01,0.0490344828,0.000527,2.8455569758,-1.9163221654,-5.0722828439,-3.7954757017,9.7862480282,0.1840617254,0.0460575497,0.0008433579,0.0150229028,6.46954e-05,0.0001363775,-0.0322169923,-0.0095241317,-0.0595964588,-0.3674053323,-0.5875869142
3,-2,-5,-4,10,0.01,0.0490344828,0.0006349,2.9527750989,-1.8779619637,-5.4118331876,-3.9937707407,10.5254429903,-0.0597589317,0.049803958,-0.0263573851,0.018168712,5.38943e-05,0.0001139823,-0.0342363953,-0.0091707798,-0.0551110202,-0.507401789,-0.5588065864
3,-2,-5,-4,10,0.01,0.0490344828,0.0007796,3.184827401,-2.0199901526,-5.0442600978,-5.0195880142,11.0950255297,-0.0838036031,0.0414043995,0.008351281,0.0122286174,6.6702e-05,0.0001451174,-0.0264146677,-0.009290405,-0.0621478667,-0.3762565997,-0.7550399611
3,-2,-5,-4,10,0.01,0.0558965517,0,2.9383581415,-1.920014763,-5.2824152894,-4.0571265658,10.6429614647,0.1408047995,0.0438181989,-0.0023912326,0.016366678,7.13949e-05,0.0001574319,-0.02459325,-0.0094509977,-0.0578195897,-0.3167383591,-0.5638345235
3,-2,-5,-4,10,0.01,0.0558965517,0.0002502,2.8900409691,-1.95813588,-5.0614341463,-3.6153455635,9.7412840432,-0.0408386245,0.0483234671,-0.004891652,0.0169396391,8.10034e-05,0.0001788468,-0.0317308399,-0.0109030439,-0.0703277382,-0.3855346379,-0.6588615475
3,-2,-5,-4,10,0.01,0.0558965517,0.0002867,2.9092460929,-1.9377529916,-5.2245987909,-3.8238524709,10.5031187067,-0.1418369532,0.055603518,-0.0187104075,0.0206169411,0.0001061949,0.0001989647,-0.0393536666,-0.0118348278,-0.0728253958,-0.4773336137,-0.6314697797
3,-2,-5,-4,10,0.01,0.0558965517,0.0003284,3.206898952,-2.1764004249,-4.568851965,-4.2849107895,9.1782343506,0.0714857465,0.0505460628,-4.47062e-05,0.0138850439,0.0001589585,0.0003241863,-0.0330759761,-0.0161677731,-0.0812759015,-0.4082230021,-0.8007205174
3,-2,-5,-4,10,0.01,0.0558965517,0.0003798,3.0016311511,-2.0056262461,-5.1008418677,-3.9198576349,9.7727852808,0.0471440458,0.0535255864,0.003605297,0.0133285139,0.0001240703,0.0002591292,-0.0379636632,-0.0113970413,-0.0552913883,-0.4375999826,-0.6315804753
3,-2,-5,-4,10,0.01,0.0558965517,0.000444,2.6005376238,-1.6942552396,-5.6254422694,-3.690928245,11.15671068,-0.1139260346,0.0326082548,-0.0074837177,0.018238239,2.77987e-05,5.826e-05,-0.0178064479,-0.0060363615,-0.0382121789,-0.2288551154,-0.3494310254
3,-2,-5,-4,10,0.01,0.0558965517,0.000527,3.1192029315,-2.0351899088,-4.9362965415,-4.3333511209,10.0667571732,-0.0609145348,0.0515629287,0.0168885843,0.0097680191,0.0001138971,0.0002097995,-0.0379617117,-0.0107826678,-0.059003084,-0.4765999203,-0.7126690883
3,-2,-5,-4,10,0.01,0.0558965517,0.0006349,3.1082413856,-2.0029665018,-5.138843615,-4.4851671057,11.1870054063,-0.1569171188,0.0407224137,-0.0028276615,0.016217761,4.70985e-05,8.58747e-05,-0.0347577292,-0.0082573366,-0.0488483209,-0.408767951,-0.4444723702
3,-2,-5,-4,10,0.01,0.0558965517,0.0007796,2.9100463605,-2.0262676495,-4.9100932,-3.4463061875,9.2981844428,0.1442461608,0.0528698764,-0.0039625072,0.0155331792,9.97226e-05,0.0002221695,-0.0383285824,-0.0131321818,-0.0866855562,-0.4441139803,-0.8729756857
3,-2,-5,-4,10,0.01,0.0627586207,0,3.1135574708,-2.1912884161,-4.658766301,-3.599327986,9.1418643188,-0.0126848588,0.0414961122,-0.017598449,0.0221777275,6.34895e-05,0.0001563756,-0.0319010342,-0.0099913545,-0.0537665964,-0.4346631428,-0.6954714637
3,-2,-5,-4,10,0.01,0.0627586207,0.0002502,3.042707269,-2.0658823917,-4.9883705914,-3.8267338543,9.8328694491,0.0276151909,0.0453258757,-0.0166349835,0.0205209052,7.38579e-05,0.0001494675,-0.036197442,-0.0087448418,-0.0477410722,-0.483976594,-0.5734497948
3,-2,-5,-4,10,0.01,0.0627586207,0.0002867,3.3147202255,-1.9871843062,-5.0655724375,-5.0838594706,10.3787831793,0.0870089301,0.1048933584,0.0566650955,0.0070161443,0.0004547011,0.0007603432,-0.0643315161,-0.0202374029,-0.1073909876,-0.8183661971,-1.4506434697
3,-2,-5,-4,10,0.01,0.0627586207,0.0003284,2.8866053124,-1.9326268446,-5.06044298,-3.7305378151,9.5084013814,0.0186019693,0.0980577166,0.0673175115,0.0047890725,0.000370781,0.0005563309,-0.0493490777,-0.0162597289,-0.0922499286,-0.5364503269,-1.0276375705
3,-2,-5,-4,10,0.01,0.0627586207,0.0003798,2.919261695,-2.1556083668,-4.5517354175,-3.1503348493,8.1377867628,0.1053658662,0.0516731013,-0.0089895609,0.0202558522,0.0001099,0.0002397285,-0.0323609491,-0.0128446949,-0.0807884128,-0.3759733189,-0.8225628072
