"","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","odhad"
"362",3.09667957059326,-2.01061268121314,-5.02314095804029,-4.23299984852981,9.98816106557605,0.397254250125327,0.0106159553410966,0.00386348759231599,13
"363",3.08764320134098,-2.01567814789815,-5.01290208850603,-4.16226056668346,9.89293145640456,0.59324357007938,0.00693024097971505,0.00173548262981768,13
"364",3.09822179936234,-2.02787438692463,-4.98209358007263,-4.14380908689896,9.77580860786338,0.675824774858254,0.00653172162073521,0.00208054912572293,13
"365",3.10102543236104,-2.03202440955807,-4.97284241949932,-4.13496708862558,9.74137492073078,0.704655274282565,0.0059974643906628,0.00156119259297504,13
"366",3.10496977381612,-2.03646897197369,-4.96114057697317,-4.12813288600319,9.69593037370427,0.695158954401633,0.00625068849003492,0.00183984021658181,13
"367",3.10281894249708,-2.03418745692622,-4.96728455874244,-4.13100249231927,9.71926617070959,0.701829772227057,0.00609216899165984,0.00166186789498071,13
"368",3.10441393560395,-2.0357966204224,-4.96300404436107,-4.12934333524902,9.7033256538621,0.697461317485125,0.00620033138990751,0.00177866677333472,13
"369",3.10341266045639,-2.03476742024811,-4.96574412685938,-4.13048814319817,9.7135872686797,0.700206675592578,0.0061325829357683,0.00170492305523507,13
"370",3.10406416670966,-2.03542614840212,-4.96399024391729,-4.12980353081707,9.70705245710578,0.698440296010064,0.00617629660044361,0.00175241907937173,13
"371",3.10365023082724,-2.03500430132223,-4.9651127021394,-4.13025639316623,9.71124300000939,0.699568597289818,0.00614844265106692,0.00172214600059038,13
"372",3.10391620525489,-2.03527406766888,-4.96439455238944,-4.12997225296895,9.70856477781584,0.698846404135626,0.0061663035811581,0.00174155688244716,13
"373",3.10374645247896,-2.0351014155946,-4.96485400256688,-4.13015609701044,9.7102791420777,0.69930830672308,0.00615489384187492,0.00172915637599015,13
"374",3.10385521066867,-2.03521183911473,-4.96456007804423,-4.13003930468247,9.70918275428584,0.699012748219109,0.00616220023493885,0.00173709689418227,13
"375",3.10378569358648,-2.03514118038549,-4.9647481258285,-4.13011435408702,9.70988433515605,0.699201807601703,0.00615752882812708,0.00173201991052615,13
"376",3.10383019180856,-2.03518637789609,-4.96462782636763,-4.1300664761639,9.70943556638735,0.699080845737156,0.00616051855115371,0.00173526914529944,13
"377",3.10380173382983,-2.03515745986511,-4.96470479035605,-4.13009716133164,9.70972269617295,0.69915822686249,0.00615860635200345,0.00173319094115524,13
"378",3.10381994388534,-2.03517595905643,-4.96465555340963,-4.13007755298407,9.70953901625778,0.699108720269817,0.00615982988296169,0.0017345206817439,13
"379",3.10380829559314,-2.03516412366938,-4.96468705324552,-4.13009010669027,9.7096565308081,0.699140391456208,0.00615904720718738,0.00173367006128987,13
"380",3.10381574827803,-2.03517169518151,-4.96466690132279,-4.13008207920357,9.70958135264943,0.699120129435472,0.00615954795872114,0.00173421428187545,13
"381",3.1038109806789,-2.03516685120762,-4.96467979362594,-4.13008721634922,9.70962944886566,0.699133091978253,0.00615922761538905,0.00173386612965987,13
